"tokens"	"types"	"partOfSpeech"	"morph"
"175"	"-"	"-"	"$("	"--"
"498"	"-"	"-"	"KON"	"--"
"4"	"\""	"\""	"$("	"--"
"16"	"\""	"\""	"$("	"--"
"129"	"\""	"\""	"$("	"--"
"135"	"\""	"\""	"$("	"--"
"291"	"\""	"\""	"$("	"--"
"293"	"\""	"\""	"$("	"--"
"328"	"\""	"\""	"$("	"--"
"335"	"\""	"\""	"$("	"--"
"447"	"\""	"\""	"$("	"--"
"452"	"\""	"\""	"$("	"--"
"460"	"\""	"\""	"$("	"--"
"469"	"\""	"\""	"$("	"--"
"489"	"\""	"\""	"$("	"--"
"491"	"\""	"\""	"$("	"--"
"560"	"\""	"\""	"$("	"--"
"562"	"\""	"\""	"$("	"--"
"453"	"("	"("	"$("	"--"
"473"	"("	"("	"$("	"--"
"494"	"("	"("	"$("	"--"
"458"	")"	")"	"$("	"--"
"478"	")"	")"	"$("	"--"
"534"	")"	")"	"$("	"--"
"8"	","	","	"$,"	"--"
"35"	","	","	"$,"	"--"
"82"	","	","	"$,"	"--"
"88"	","	","	"$,"	"--"
"99"	","	","	"$,"	"--"
"131"	","	","	"$,"	"--"
"153"	","	","	"$,"	"--"
"185"	","	","	"$,"	"--"
"209"	","	","	"$,"	"--"
"211"	","	","	"$,"	"--"
"227"	","	","	"$,"	"--"
"254"	","	","	"$,"	"--"
"279"	","	","	"$,"	"--"
"300"	","	","	"$,"	"--"
"317"	","	","	"$,"	"--"
"336"	","	","	"$,"	"--"
"356"	","	","	"$,"	"--"
"377"	","	","	"$,"	"--"
"386"	","	","	"$,"	"--"
"406"	","	","	"$,"	"--"
"414"	","	","	"$,"	"--"
"417"	","	","	"$,"	"--"
"420"	","	","	"$,"	"--"
"423"	","	","	"$,"	"--"
"455"	","	","	"$,"	"--"
"462"	","	","	"$,"	"--"
"464"	","	","	"$,"	"--"
"465"	","	","	"$,"	"--"
"467"	","	","	"$,"	"--"
"475"	","	","	"$,"	"--"
"485"	","	","	"$,"	"--"
"496"	","	","	"$,"	"--"
"504"	","	","	"$,"	"--"
"507"	","	","	"$,"	"--"
"510"	","	","	"$,"	"--"
"513"	","	","	"$,"	"--"
"518"	","	","	"$,"	"--"
"523"	","	","	"$,"	"--"
"525"	","	","	"$,"	"--"
"527"	","	","	"$,"	"--"
"529"	","	","	"$,"	"--"
"531"	","	","	"$,"	"--"
"547"	","	","	"$,"	"--"
"552"	","	","	"$,"	"--"
"569"	","	","	"$,"	"--"
"582"	","	","	"$,"	"--"
"55"	"."	"."	"$."	"--"
"76"	"."	"."	"$."	"--"
"105"	"."	"."	"$."	"--"
"117"	"."	"."	"$."	"--"
"136"	"."	"."	"$."	"--"
"146"	"."	"."	"$."	"--"
"179"	"."	"."	"$."	"--"
"197"	"."	"."	"$."	"--"
"239"	"."	"."	"$."	"--"
"264"	"."	"."	"$."	"--"
"285"	"."	"."	"$."	"--"
"308"	"."	"."	"$."	"--"
"345"	"."	"."	"$."	"--"
"363"	"."	"."	"$."	"--"
"381"	"."	"."	"$."	"--"
"399"	"."	"."	"$."	"--"
"429"	"."	"."	"$."	"--"
"479"	"."	"."	"$."	"--"
"535"	"."	"."	"$."	"--"
"565"	"."	"."	"$."	"--"
"589"	"."	"."	"$."	"--"
"17"	":"	":"	"$."	"--"
"64"	":"	":"	"$."	"--"
"158"	":"	":"	"$."	"--"
"205"	":"	":"	"$."	"--"
"274"	":"	":"	"$."	"--"
"327"	":"	":"	"$."	"--"
"352"	":"	":"	"$."	"--"
"439"	":"	":"	"$."	"--"
"501"	":"	":"	"$."	"--"
"521"	":"	":"	"$."	"--"
"559"	":"	":"	"$."	"--"
"516"	";"	";"	"$."	"--"
"519"	"11"	"11"	"CARD"	"--"
"497"	"15"	"15"	"CARD"	"--"
"499"	"19"	"19"	"CARD"	"--"
"241"	"1991"	"1991"	"CARD"	"--"
"456"	"20"	"20"	"CARD"	"--"
"476"	"22"	"22"	"CARD"	"--"
"400"	"25"	"25"	"CARD"	"--"
"357"	"überhaupt"	"überhaupt"	"ADV"	"--"
"142"	"überregional"	"überregional"	"ADJD"	"--"
"549"	"übrigens"	"übrigens"	"ADV"	"--"
"147"	"Aber"	"aber"	"KON"	"--"
"208"	"Abonnementsystem"	"Abonnementsystem"	"NN"	"nsn"
"121"	"abstrakten"	"abstrakt"	"ADJA"	"gsm"
"571"	"Albermann"	"Albermann"	"NE"	"dsm"
"385"	"alle"	"alle"	"PIS"	"np*"
"282"	"allererste"	"allererst"	"ADJA"	"asf"
"409"	"altbekannten"	"altbekannt"	"ADJA"	"dp*"
"391"	"am"	"an"	"APPRART"	"dsn"
"586"	"am"	"an"	"APPRART"	"dsn"
"75"	"an"	"--"	"PTKVZ"	"--"
"167"	"an"	"an"	"APPR"	"d"
"215"	"andere"	"ander"	"ADJA"	"apm"
"421"	"Antonio"	"Antonio"	"NE"	"dsm"
"233"	"Anzahl"	"Anzahl"	"NN"	"asf"
"207"	"attraktives"	"attraktiv"	"ADJA"	"nsn"
"84"	"auch"	"auch"	"ADV"	"--"
"141"	"auch"	"auch"	"ADV"	"--"
"176"	"auch"	"auch"	"ADV"	"--"
"193"	"auch"	"auch"	"ADV"	"--"
"213"	"auch"	"auch"	"ADV"	"--"
"219"	"auch"	"auch"	"ADV"	"--"
"340"	"auch"	"auch"	"ADV"	"--"
"550"	"auch"	"auch"	"ADV"	"--"
"265"	"Auch"	"auch"	"ADV"	"--"
"40"	"auf"	"auf"	"APPR"	"d"
"540"	"Aufführung"	"Aufführung"	"NN"	"nsf"
"54"	"aufgebaut"	"auf#bauen"	"VVPP"	"--"
"196"	"aufzuführen"	"auf#führen"	"VVIZU"	"--"
"154"	"aus"	"aus"	"APPR"	"d"
"128"	"Aussagen"	"Aussage"	"NN"	"dpf"
"482"	"ausschließlich"	"ausschließlich"	"ADV"	"--"
"67"	"Ausstellungen"	"Ausstellung"	"NN"	"apf"
"85"	"Ausstellungen"	"Ausstellung"	"NN"	"apf"
"60"	"bei"	"bei"	"APPR"	"d"
"110"	"bei"	"bei"	"APPR"	"d"
"321"	"beiden"	"beide"	"PIDAT"	"npf"
"526"	"Berio"	"Berio"	"NE"	"nsm"
"532"	"Bernd-Alois"	"Bernd-Alois"	"NE"	"nsm"
"304"	"Betrachten"	"Betrachten"	"NN"	"dsn"
"104"	"bieten"	"bieten"	"VVFIN"	"3pis"
"72"	"bietet"	"bieten"	"VVFIN"	"3sis"
"95"	"Bilder"	"Bild"	"NN"	"gpn"
"306"	"Bilder"	"Bild"	"NN"	"gpn"
"401"	"Bilder"	"Bild"	"NN"	"apn"
"152"	"bleiben"	"bleiben"	"VVINF"	"--"
"537"	"Bonbon"	"Bonbon"	"NN"	"nsn"
"70"	"bot"	"an#bieten"	"VVFIN"	"3sit"
"573"	"Carin"	"Carin"	"NE"	"dsf"
"468"	"Cello"	"Cello"	"NN"	"nsn"
"202"	"da"	"da"	"ADV"	"--"
"159"	"Da"	"da"	"ADV"	"--"
"180"	"Da"	"da"	"ADV"	"--"
"148"	"dabei"	"dabei"	"PROP"	"--"
